iter	MultiQuantile:alpha=0.1,,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9
0	0.2047170239
1	0.1999464603
2	0.1953535253
3	0.1909799411
4	0.1866413562
5	0.1827438948
6	0.1788273106
7	0.1750082951
8	0.1713508834
9	0.1678417729
10	0.1644737769
11	0.1613407949
12	0.1582481468
13	0.1551856314
14	0.1524366576
15	0.1496174002
16	0.1469873358
17	0.1444960489
18	0.1421468334
19	0.1398781926
20	0.137692682
21	0.1355690606
22	0.1335408889
23	0.1315250895
24	0.1297196434
25	0.1279355624
26	0.1262822093
27	0.1246601475
28	0.1231927901
29	0.1217841383
30	0.1203627507
31	0.1189786958
32	0.1176624568
33	0.1164258317
34	0.1151963162
35	0.1140873393
36	0.1130044281
37	0.1119204526
38	0.1109439876
39	0.1100176196
40	0.1091354099
41	0.1082544484
42	0.1074316675
43	0.1067013893
44	0.1059644641
45	0.1052361285
46	0.1045910889
47	0.1039208131
48	0.1033003878
49	0.1027816262
50	0.1022037207
51	0.1016438814
52	0.1011185384
53	0.1006735248
54	0.1002550966
55	0.09982090053
56	0.09940860356
57	0.0990205205
58	0.0986749472
59	0.09829769231
60	0.09794212252
61	0.09762666123
62	0.09730094147
63	0.09699692816
64	0.09669263129
65	0.09641680342
66	0.09615074232
67	0.09590657179
68	0.09566970976
69	0.09544332469
70	0.09524003094
71	0.09503961221
72	0.09486251379
73	0.09466874373
74	0.09448851618
75	0.09433375489
76	0.09415605259
77	0.09401508016
78	0.09385765642
79	0.09373128431
80	0.0936029697
81	0.0934816833
82	0.0933465615
83	0.09322710753
84	0.09310939438
85	0.09300714345
86	0.09290392936
87	0.09282644067
88	0.09273493977
89	0.09264237132
90	0.09255046632
91	0.09246356422
92	0.09238846757
93	0.092311203
94	0.09225173465
95	0.09218744716
96	0.09212929118
97	0.09207202686
98	0.0920164209
99	0.09195885086
